KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
52404030,0,,,50,24,26,7,4,3,43,20,23,18,9,9,43,20,23,25,11,14,15,5,10,0,0,0,20,20,5,7,3,4,0,1,0,15,10,5,1,16,0,4,4
52404040,0,,,448,205,243,37,22,15,411,183,228,212,100,112,404,180,224,199,83,116,110,36,74,0,0,0,173,173,31,68,40,20,8,3,3,142,91,51,11,137,0,25,32
52404041,0,,,777,368,409,32,18,14,744,350,394,297,152,145,720,341,379,447,198,249,274,117,157,2,1,1,304,301,72,131,56,28,9,3,2,228,181,47,7,242,1,57,75
52404050,0,,,62,33,29,7,4,3,55,29,26,34,19,15,55,29,26,21,10,11,11,4,7,0,0,0,20,20,1,9,5,2,0,1,2,19,9,10,2,16,0,1,3
52404051,0,,,490,234,256,55,32,23,435,202,233,230,109,121,405,188,217,205,93,112,111,46,65,5,0,5,176,176,36,61,33,19,12,9,6,138,88,50,7,136,0,32,36
52404052,0,,,104,47,57,7,4,3,97,43,54,45,21,24,95,42,53,52,22,30,30,9,21,0,0,0,42,42,9,18,8,3,2,1,1,33,20,13,2,34,0,6,8
52404060,0,,,9,5,4,0,0,0,9,5,4,2,0,2,9,5,4,7,5,2,6,4,2,0,0,0,4,4,1,2,0,1,0,0,0,3,2,1,0,4,0,1,2
52404061,0,,,25,12,13,4,2,2,21,10,11,13,5,8,20,10,10,8,5,3,1,0,1,0,0,0,13,13,6,4,2,0,1,0,0,7,7,0,1,6,0,2,4
52404062,0,,,280,154,126,19,7,12,261,147,114,152,86,66,250,140,110,109,61,48,56,31,25,1,0,1,112,112,33,30,25,15,2,7,0,78,53,25,6,76,0,22,15
52404063,1,,52404064,202,98,104,20,10,10,185,89,96,107,50,57,176,83,93,78,39,39,40,19,21,3,0,3,79,79,17,34,10,13,3,4,0,64,48,16,2,48,1,8,14
52404064,2,52404063,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52404070,1,,52404080,21,12,9,5,4,1,18,9,9,9,6,3,17,8,9,9,3,6,4,1,3,0,0,0,8,8,2,4,1,1,0,1,0,7,7,0,2,6,0,1,3
52404073,0,,,59,26,33,4,2,2,55,24,31,30,15,15,52,23,29,25,9,16,9,2,7,3,2,1,28,28,12,8,3,4,0,1,0,16,12,4,2,20,0,10,3
52404074,0,,,776,366,410,76,37,39,699,328,371,363,178,185,680,317,363,336,150,186,148,57,91,7,2,5,351,351,123,115,54,46,5,4,4,226,175,51,18,235,3,81,59
52404075,0,,,568,269,299,42,19,23,526,250,276,276,135,141,503,236,267,250,115,135,141,57,84,3,1,2,237,236,63,94,41,24,4,6,4,171,129,42,10,168,0,46,39
52404076,0,,,130,63,67,14,6,8,116,57,59,65,34,31,112,55,57,51,23,28,29,15,14,0,0,0,47,47,10,15,10,5,4,1,2,37,29,8,2,33,0,7,10
52404080,2,52404070,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52404083,0,,,92,46,46,12,5,7,80,41,39,47,25,22,77,39,38,33,16,17,18,7,11,2,1,1,32,32,7,8,9,3,2,1,2,24,17,7,5,21,0,3,4
52404084,0,,,35,17,18,3,2,1,32,15,17,13,7,6,32,15,17,19,8,11,10,3,7,0,0,0,16,16,6,6,2,1,0,0,1,10,6,4,1,13,0,3,4
52404085,0,,,42,20,22,1,1,0,41,19,22,22,10,12,39,18,21,19,9,10,8,3,5,1,0,1,17,17,6,5,2,1,2,1,0,10,6,4,0,16,0,5,2
52404086,0,,,238,120,118,16,10,6,222,110,112,110,59,51,210,104,106,112,51,61,48,19,29,0,0,0,99,99,21,45,16,8,7,2,0,78,63,15,3,75,0,17,26
52404087,2,52404097,,10,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52404090,0,,,16,7,9,3,1,2,13,6,7,5,2,3,13,6,7,8,4,4,2,1,1,0,0,0,6,6,0,4,1,0,1,0,0,6,5,1,1,4,0,0,4
52404093,0,,,57,25,32,2,1,1,55,24,31,34,15,19,49,22,27,21,9,12,15,5,10,1,0,1,18,18,1,8,3,2,1,3,0,17,9,8,1,14,0,0,4
52404094,0,,,15,7,8,1,0,1,14,7,7,7,4,3,13,7,6,7,3,4,2,1,1,1,0,1,4,4,0,2,0,1,0,0,1,4,2,2,0,4,0,0,1
52404097,1,,52404087,623,291,332,47,20,27,586,276,310,331,166,165,548,259,289,255,110,145,126,40,86,58,35,23,237,232,69,78,52,18,9,6,4,163,126,37,10,163,5,47,42
52404098,0,,,163,80,83,6,2,4,157,78,79,64,33,31,156,78,78,93,45,48,47,21,26,1,0,1,77,77,27,29,12,5,2,2,0,50,39,11,1,67,0,23,20
52405000,0,,,41,21,20,2,0,2,39,21,18,21,14,7,38,21,17,18,7,11,13,5,8,0,0,0,22,22,9,9,2,2,0,0,0,13,11,2,1,13,0,4,4
52405001,0,,,32,20,12,2,1,1,30,19,11,17,12,5,28,17,11,13,7,6,10,5,5,0,0,0,13,13,4,4,2,2,0,1,0,9,6,3,0,8,0,2,2
52405002,0,,,103,50,53,9,5,4,94,45,49,51,25,26,91,44,47,43,20,23,20,10,10,0,0,0,37,37,4,15,11,2,2,3,0,33,20,13,0,27,0,1,7
52405003,0,,,29,14,15,4,2,2,25,12,13,16,8,8,25,12,13,9,4,5,4,2,2,0,0,0,9,9,0,3,3,2,0,1,0,9,7,2,1,5,0,0,2
