KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
52397770,0,,,156,75,81,6,4,2,150,71,79,88,45,43,144,70,74,62,26,36,24,7,17,0,0,0,59,59,12,18,15,8,5,1,0,47,33,14,1,43,0,7,9
52397771,0,,,160,81,79,11,7,4,148,73,75,92,48,44,141,71,70,56,25,31,33,14,19,0,0,0,52,52,8,18,8,4,10,3,1,43,24,19,4,39,0,3,8
52397772,0,,,343,150,193,18,6,12,325,144,181,131,74,57,315,137,178,194,70,124,149,48,101,2,1,1,72,70,7,18,16,15,5,5,4,62,37,25,6,58,0,6,12
52397773,0,,,4336,2275,2061,738,391,347,3576,1870,1706,2849,1541,1308,3324,1734,1590,727,329,398,261,106,155,21,2,19,1700,1700,479,417,359,319,92,29,5,1203,1059,144,201,512,133,98,129
52397774,0,,,369,157,212,37,18,19,332,139,193,199,96,103,318,133,185,133,43,90,89,23,66,0,0,0,123,122,27,38,26,17,8,4,2,95,73,22,13,63,1,12,15
52397775,0,,,275,143,132,25,14,11,250,129,121,173,91,82,229,120,109,77,38,39,39,15,24,0,0,0,88,88,14,15,24,20,11,4,0,73,45,28,11,47,0,7,4
52397776,0,,,491,235,256,46,27,19,444,208,236,285,132,153,414,194,220,159,76,83,61,27,34,4,0,4,163,163,22,47,40,29,16,5,4,140,105,35,11,105,0,14,25
52397777,0,,,147,75,72,17,10,7,130,65,65,76,40,36,130,65,65,54,25,29,26,10,16,0,0,0,45,45,5,12,13,3,5,7,0,40,21,19,7,34,0,3,3
52397778,1,,52397789;52397798,70,38,32,11,6,5,65,36,29,40,20,20,63,35,28,25,16,9,8,5,3,0,0,0,28,28,9,11,3,5,2,1,0,20,15,5,3,21,2,6,5
52397779,0,,,54,24,30,2,0,2,52,24,28,33,18,15,51,23,28,19,6,13,9,1,8,0,0,0,20,20,2,5,11,1,1,0,0,17,10,7,1,14,0,0,2
52397780,0,,,683,338,345,59,35,24,624,303,321,362,179,183,604,296,308,262,124,138,124,53,71,3,1,2,246,246,47,71,54,52,12,6,4,192,138,54,20,169,0,34,34
52397781,0,,,673,338,335,81,35,46,588,300,288,389,207,182,557,283,274,199,93,106,96,39,57,6,2,4,285,285,104,73,44,44,9,7,4,178,144,34,26,139,28,49,36
52397782,0,,,1724,849,875,215,121,94,1502,722,780,930,481,449,1425,678,747,572,241,331,301,113,188,14,2,12,636,634,160,175,155,100,29,10,5,465,411,54,59,315,12,92,74
52397783,0,,,6797,3322,3475,906,462,444,5846,2832,3014,4210,2087,2123,5487,2651,2836,1636,745,891,618,257,361,38,13,25,2709,2708,697,882,557,381,145,31,15,1981,1772,209,253,1044,101,200,344
52397784,0,,,1962,1023,939,191,97,94,1754,914,840,1216,668,548,1668,869,799,538,246,292,236,102,134,7,1,6,859,859,311,231,155,102,46,12,2,542,458,84,53,368,78,87,101
52397785,0,,,545,293,252,59,30,29,486,263,223,333,194,139,404,195,209,153,69,84,89,36,53,38,37,1,173,172,26,50,45,32,17,2,0,146,123,23,14,94,0,16,32
52397787,0,,,36,18,18,4,1,3,32,17,15,22,12,10,31,16,15,10,5,5,6,4,2,1,0,1,12,12,0,4,5,2,1,0,0,12,10,2,0,6,0,0,2
52397789,2,52397778,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52397790,0,,,2084,1128,956,232,120,112,1831,992,839,1413,806,607,1696,919,777,418,186,232,163,66,97,20,5,15,940,940,379,226,158,121,44,9,3,553,477,76,58,287,89,57,85
52397791,0,,,4063,2075,1988,540,272,268,3472,1773,1699,2499,1340,1159,3282,1660,1622,973,433,540,387,161,226,62,17,45,1854,1853,719,518,304,215,69,17,11,1108,984,124,151,686,105,211,196
52397792,0,,,4861,2439,2422,578,299,279,4243,2110,2133,2896,1500,1396,4036,1999,2037,1347,610,737,544,226,318,36,7,29,2177,2176,797,629,368,258,90,25,9,1357,1198,159,167,944,96,290,265
52397793,0,,,5959,3062,2897,784,443,341,5125,2588,2537,3871,2000,1871,4853,2449,2404,1254,588,666,456,189,267,30,12,18,2442,2442,670,745,524,350,115,24,14,1752,1557,195,238,823,140,148,289
